tweetid;user;content;date;lang;sentiment/polarity/value
7.69E+17;Alfbicknell;"@GarbiMuguruza 
Yo cuando pueda quiero tener el Omega Constellation,, con los numéricos romanos.";24-08-2016 19:22;es;1
7.69E+17;polux_prm;@feralcazar_ es grasioso porque en vez de aspirar a ser alcalde aspiras a concejal...;24-08-2016 21:36;es;0
7.69E+17;leoselaya98;Hoy quiero hacer otro juego de estos de tw pero esque son todos iguales;24-08-2016 21:36;es;0
7.69E+17;ElyShuri;Por desgracia el sorteo que tenía pensado hacer es sólo para gente de Europa  Ya haré más sorteos para todo el mundo!;24-08-2016 21:34;es;0
7.69E+17;LytosOfficial;"@Paco_Jone Qué fácil es quedarse calladito, bajarse los pantalones y no decir ni mú... Cuánta ignorancia en tu ""opinión"". Saludos";24-08-2016 21:31;es;0
7.69E+17;crisgg_13;"Yo
Me cago
En los muertos
De todas
Las bacterias malignas
De mi
Garganta

.";24-08-2016 21:31;es;0
7.69E+17;jyjed;@reyminguela20 la próxima vez que vaya a Madrid no estarás en mis planes. Maldita;24-08-2016 21:24;es;0
7.69E+17;HekoTheDolphin;@serbailop Totalmente. Aunque la post-tertulia ha sido muy interesante, hablando de todo esto, y la evolución (e involuciones) del cine;24-08-2016 21:21;es;1
7.69E+17;GtavAlvaro;@sosagraphs Pues tan sencillo porque en su día me puse a hacerlo y es de lo que mas encargos me hacen, aparte tengo mas estilos crack;24-08-2016 21:48;es;1
7.69E+17;oscsg;@flyfap no había parada pero he visto una rotonda mu bonica en la que ponía Nules;24-08-2016 21:45;es;1
7.69E+17;manalarba;@hayar_96 abandoné mi tierra y llegué justo ayer a España, estoy sensible, te odio;24-08-2016 21:44;es;0
7.69E+17;5ofNR;Ahora que estoy en Madrid casi no puedo hacer fotos chachis, solo a mi careto y no;24-08-2016 20:23;es;0
7.69E+17;Lorenamg5;@Eduardo_Pers Ps que las exterminen. Por mi salud mental  (y pa que pueda dejar de hacer el ridículo por la calle jajajaj);24-08-2016 20:21;es;0
7.69E+17;MPILARGALERA;@Kosto_Trading @juanrallo Lo de prohibir el casco e ir enmascarado también es arbitrario y sectario, no?;24-08-2016 21:53;es;0
7.69E+17;LDF87;@lirondos Ya lo tenía fichado y tengo ganas de darle uso  ¡¡Gracias!!;24-08-2016 21:52;es;1
7.69E+17;neussgutierrez;@LibrosdeMaria no sé si hubo más gente, pero ayer te tagueé yo  ayy, Hannibal es que moooooola tanto!;24-08-2016 18:09;es;1
7.69E+17;kolontai1959;"#Otegi inhabilitado   #EsLaSentencia 
Mujeres tapadas hasta los ojos #EsSuCultura
Teneis un sentido inamovible del mundo y de la vida.";24-08-2016 19:12;es;0
7.69E+17;Jtravieso;@santicid ay, gracias. Lo malo es que ese es solo para primer viaje. Pero mil gracias igualmente;24-08-2016 19:04;es;1
7.69E+17;JeRamGon;Madrid está lleno de comida y crushes, no me llevéis de aquí;24-08-2016 20:42;es;0
7.69E+17;deporyapues;@albueto @ferderer2 @TipsterApuesta los reyes magos son mas reales que este;24-08-2016 20:38;es;0
7.69E+17;DovahkiinFerret;@SirDeschain @ChicaCascabel @reptarazul más bien tas tenía aprecio por raistlin, yo creo que al mago le daba un poco igual todo;24-08-2016 19:21;es;0
7.69E+17;ElyShuri;@Asukawachan Gracias  ya me pasó una vez y los antibióticos fueron milagrosos, estoy deseando que vuelva mi madre con ellos;24-08-2016 19:20;es;1
7.69E+17;JulenReal;@iwanancho quiero un Linoone con Tambor y Velocidad Extrema pero es de esos especiales de generaciones pasadas que ya no se puede;24-08-2016 20:37;es;0
7.69E+17;jlhortelano;@amartino @yagoperrin los dos amigos menos quejicas que tengo;24-08-2016 18:59;es;1
7.69E+17;padelworldpress;@MatiDiazWarrior @severinoiezzi @Maxisanchez06... ¡¡Nos sumamos a la felicitación a un grande!!;24-08-2016 18:54;es;1
7.69E+17;murkyrules;Dio tener un perro es la ilusión de mi puta vida;24-08-2016 20:28;es;1
7.69E+17;Graciosus_Black;@RoyalDarjeeling Muy mal!!! jajaja mas Geralt de rivia y menos juego de tronos;24-08-2016 20:26;es;0
7.69E+17;AriDarkHime;Por qué me gusta más tu personalidad que cualquier espalda ancha;24-08-2016 23:31;es;1
7.69E+17;vehicularalex;@SergioSmiles Mirate D gray-man desde cero puta;24-08-2016 23:29;es;0
7.69E+17;proudandclear;hay alguien apuntando a mi ventana con un laser define pesadito;24-08-2016 23:24;es;0
7.69E+17;Martin_CCCP;@carlotalotalota Me apena que haya pasado esto porque la idea de crear un colectivo estatal con divisiones locales era algo poderoso;24-08-2016 23:23;es;0
7.69E+17;selenasb13;odio a lucia la vd, mi amor hacia ella es una gran tapadera pa comer nutella en su casa;24-08-2016 23:04;es;0
7.69E+17;June_Palmero;No entiendo de verdad porque la gente cree que en realidad me la suda;24-08-2016 23:09;es;0
7.69E+17;Jinersky;"Llevo como una hora repitiendo ""No debí haber bebido ese último Monster"" teniendo que madrugar 
Mi vida.";24-08-2016 23:21;es;0
7.69E+17;JonesWeirdo;gracioso bc en la película de Nunca apagues la luz utilizan luz negra y hoy he llegado a casa y han puesto uno en el baño;24-08-2016 22:56;es;1
7.69E+17;ohcalamitzy;nos lo habíamos encontrado y estaba asustado cruzando una carretera y al final nos hemos tenido que marchar sin él.;24-08-2016 22:55;es;0
7.69E+17;JacoCorrea;@unculemadrid si al final acabamos hablando un rato, era muy simpática  @jovigobi;24-08-2016 21:10;es;1
7.69E+17;Oskitarrrr24;Este año el Madrid hará triplete y si lo hace me rapo al cero  grabad el mensaje jejej #ChiringuitoPiqué;24-08-2016 22:37;es;1
7.69E+17;SuperActrices;@valenciacf Mis sentimientos y mi orgullo por el Valencia son muy grandes. Yo quiero lo mejor para el Valencia.;24-08-2016 22:35;es;1
7.69E+17;chicadelacinta;@Landspecies y sentimos empatia hacia cualquier ser vivo sin distinción;24-08-2016 22:40;es;1
7.69E+17;rosasunicornias;Gracias tormenta por aparecer justo cuando me voy a meter en cama solita;24-08-2016 22:30;es;0
7.69E+17;TheMoonAlsoRise;@Monysito pues pocas cosas más bonitas puedes ver en la vida oye;24-08-2016 22:29;es;1
7.69E+17;CliftJose;@Graffitera23 qué hermoso!,es bueno desviar la mirada al cielo y a las nubes de vez en cuando,abajo está jodido.preciosa foto,mil abrazos;24-08-2016 22:27;es;1
7.69E+17;TheMoonAlsoRise;@Monysito en la vida puede verseme una teta porque cuando me eche la foto no estaba desnuda;24-08-2016 22:23;es;0
7.69E+17;MPILARGALERA;@juanrallo Ya, ya. El edificio A sí, el edificio B no. Facilísimo de articular;24-08-2016 22:50;es;1
7.69E+17;dalejandrob_;Lamento decirles que ya no soy calvo, mi calva perfecta se ve opacada por mi pelo;24-08-2016 22:51;es;1
7.69E+17;DanielHWeb;@Jorgeoneer ya pero no soy mucho de pc. No es muy potente el mío;24-08-2016 22:51;es;0
7.69E+17;AntonioGarciaN2;Ya me está jodiendo la tarde Pep...bueno me.voy a dar un.paseo;24-08-2016 17:46;es;0
7.69E+17;kolontai1959;@aitor48 Prohibirlo, no. Se pueden hacer campañas, pedagogía... y no aplaudir como están haciendo muchas pseudo-feministas  @ladypalo;24-08-2016 18:02;es;0
7.69E+17;MartaAiL;"@Lahierritos pues sabran més q jo  

*curso CCC de mirones y mironas";24-08-2016 18:02;es;0
7.69E+17;ConLDeLucifer_;He puesto la radio solo pa escucharle jajajajajajaja ai, que ganas de verle ya ostia;24-08-2016 18:01;es;1
7.69E+17;xwheresmycoffee;@Slow_Dancer_ TOTALMENTE  Pobre Gappy... que inocente es  no sabe con quien se ha encontrado.;24-08-2016 19:34;es;0
7.69E+17;Tidxs_;@Tidxs_ 2. Hace mucho tiempo hablabamos por skype por un amigo en común y estaba guay, además de que eres muy mona!;24-08-2016 19:33;es;1
7.69E+17;MyrtiaGamesBar;Buen partido a todos @overgame_org , suerte en la final de losers y a ver si nos volvemos a ver en la gran final. Saludo a esos casters;24-08-2016 19:32;es;1
7.69E+17;SuperActrices;@levante_emv @valenciacf Un capullo menos en el Valencia. Si no esta al 100% con el Valencia lo mejor es venderlo.;24-08-2016 19:32;es;0
7.69E+17;jjirene33;Quiero que vuelva el invierno  y ponerme pantalones largos y chaquetas y sudaderas y abrigos, puto verano.;24-08-2016 19:42;es;0
7.69E+17;Maitane_fraile;Pensar en irse pronto a la cama y ver que dan 2 capítulos de #minorityreport la mejor manera de alegrarse la noche;24-08-2016 19:41;es;1
7.69E+17;MrRichi94;"@DaniRS95 somos el PACMA, a todos caemos bien pero nadie nos quiere.

Lloremos juntos";24-08-2016 19:53;es;0
7.69E+17;CeciiEscud;Cuando sufres porque no encuentras emulador para jugar al pokemon rubí en iOS 9.3.4;24-08-2016 19:50;es;0
7.69E+17;kolontai1959;@ideiazabaldu no queda ni un país árabe laico... Hasta con Argelia y Tunez están acabando;24-08-2016 18:22;es;0
7.69E+17;mikealicante;@olivares_javier Intentan salvar a Lincoln como Julián con Lorca... Aparte de que es una copia descarada de MdT, no se parecen en nada;24-08-2016 18:19;es;0
7.69E+17;SergiFenty;@_tontonina porque somos de Móstoles, salir de nuestro ambiente es difícil;24-08-2016 23:45;es;0
7.69E+17;cabreasi0n;"ola wapa k tal stas?? spero k no seas una sorra kmo las otras xikas 

- machirulo 

QUÉ COJONES JAJSAKJKJSADJJSJASJAJAJA";24-08-2016 23:43;es;0
7.69E+17;imrobhunter;@sweetbiix pues ahí lo tienes. Si tú no huyes entonces eres una luchadora y no una cobarde no?;24-08-2016 23:41;es;1
7.69E+17;caval100;Es conveniente tener un Gobierno democrático que cumpla su función politica. NO lo es tener un Gobierno que representa la #corrupciónPP;24-08-2016 23:51;es;0
7.69E+17;annissete_ra;@ann_lloret99 @luv_m0ney_party los salidos son los q suben cosas a esa página no yo;24-08-2016 23:50;es;0
7.69E+17;arianavicenteg;otra noche hasta las 4 de la mañana despierta, aburrida y sin sueño, lo veo venir...;24-08-2016 23:50;es;0
7.69E+17;ITSMENDESWORLD;@ShawnUpdatesSA esta no es, le tienes que dar a US Store, solo se vende en US y Canadá  por ahora claro.;24-08-2016 21:58;es;0
7.69E+17;Emmy_Altava;Es triste que casi todas mis series acabadas hayan sido porque las han cancelado;24-08-2016 21:58;es;0
7.69E+17;aladroqe;@adri_buzo @FulgenLison Nop. Pero ahora me queda más claro el asunto  Gracias !;24-08-2016 21:57;es;1
7.69E+17;jbartolomero;@yolanday_y @el_pais Tras 72.000 años de viaje, conformate con que haya moléculas de Potasio y estén buenas;24-08-2016 22:14;es;1
7.69E+17;JacoCorrea;@mafolu2 no creas. Pero me gusta tener a la gente engañada  @GranCTimes;24-08-2016 22:13;es;1
7.69E+17;girlxfatale;Tú que he ido a cenar a mar de cristal y me he inflado y me duele la barriga;24-08-2016 22:11;es;0
7.69E+17;EvilVerso;Mira que soy pesimista a maza, pero odio que la gente sea TAAAAN pesimista;24-08-2016 23:54;es;0
7.68E+17;analisisalcubo;@vanderhast Jajajaja en cuanto salga de mi bucle infinito con la casa, me imprimo los mapas a dos y lo estreno!!;24-08-2016 16:45;es;1
7.68E+17;elevenfemixunga;@VioletaTrujillo yo me resigno con alguna gente, si se creen a este personaje es porque no están dispuestos a escuchar;24-08-2016 15:01;es;0
7.68E+17;Kristensanzz;Voy a estar unos días desaparecida, me estoy quedando sin gigas jajajja  q vida + triste !!! Me voy al parque con los perros..;24-08-2016 16:39;es;0
7.68E+17;wastinglove___;Tener las piernas llenas de picaduras de mosquitos que parecen heridas NO ME HACE GRACIA.;24-08-2016 16:39;es;0
7.69E+17;EmilioMarquez;@Mercadolibre Enhorabuena por los geniales resultados económicos de récord del trimestre pasado, hacéis un gran trabajo;24-08-2016 17:33;es;1
7.68E+17;MarioG_91;Hay una exposición de cuadros y uno de ellos está estropeandose por el agua del aire acondicionado que le cae encima;24-08-2016 17:22;es;0
7.68E+17;Trapperpark;@CrimsonGhost__ Tio entonces piensas que mosca es un insulto, yo creo que eso es un poco irrespetuoso a las pobres;24-08-2016 17:22;es;0
7.68E+17;Chavestoteles;lo malo es que faltaba su mid y acabaron haciendo remake;24-08-2016 17:19;es;0
7.68E+17;SoniaCasGo;@Diego_FDM @el_pais La noticia perfecta para #NotasDelMisterio;24-08-2016 17:18;es;1
7.68E+17;LauraChotis;Hoy toca escuchar a #MiguelRios con otros grandes artistas...  #Insurrección...;24-08-2016 16:04;es;1
7.69E+17;jarq44;@juliojota96 Perdóname la maldad, Julio, que sabes q te quiero, pero borrándose del AMI se combate al menos a los separatas;24-08-2016 17:53;es;1
7.68E+17;MissMcHaggis;@miguelagaiteiro @cultrun @lozanoirene Si hay que pecar de algo, que sea de ser buena gente!;24-08-2016 15:31;es;1
7.68E+17;buenopin;@JuakyB me quedo tranquilo entonces, pero iré mirando la opción del coche;24-08-2016 15:30;es;1
7.68E+17;Jess_BipOlateD;Mi puto novio me ignora y quiero saber si hay un chino cerca de la biblioteca;24-08-2016 15:25;es;0
7.69E+17;TheFuryoStyle;He salido de casa sin ir al baño y me estoy meando como una persona mayor;24-08-2016 18:46;es;0
7.69E+17;ViajeMapache;@ferdiazgil @FranDguez sí, lo he leído  ese templo grande es el que he puesto en IG. Ha perdido su parte superior y está inaccesible;24-08-2016 18:30;es;0
7.69E+17;deOxidano;@AdriMarinaB Así me gusta, cada cosa a su CCAA. Así dejamos de cargar las culpas a nuestra querida nación.;24-08-2016 18:28;es;0
7.68E+17;amarowalker;@ManudeOrleans pues yo no hay manera, y eso que tengo recuerdo lejano y de stats tengo una media de 69-70;24-08-2016 17:02;es;0
7.68E+17;DE_ZETA_TE;@pobrezacero @nuevatribuna @ruthtoledano @FelipeAlcarazM @carlosbardem @carnecrudaradio @agarzon @cayo_lara Vamos mal, no... peor;24-08-2016 17:02;es;0
7.69E+17;grierfully;Silvia pesada deja de dar rt que me sale doble notificación;24-08-2016 18:35;es;0
7.68E+17;kolontai1959;@concht1 pero nos hemos desmovilizado, Concha. Nosotros/as solas dejamos las calles. Así nos va  @CiudadanosCs;24-08-2016 17:06;es;0
7.69E+17;AleGaaaarcia_;en realidá é algo duro de asimilar ni el alcohol me ayuda;24-08-2016 18:51;es;0
7.69E+17;iMisut;@Boardgametotal los ábacos si están permitidos. Sobre todo porque la mayoría no saben usarlo;24-08-2016 18:50;es;0
7.68E+17;jimmypons;@beautyblog_es @isasaweis @_ANAMILAN_ ohhhhh eso tiene que ser muy divertido  me imagino que los hombres están vetados no???????;24-08-2016 16:54;es;1
7.67E+17;hescentia;tio os quiero mil a los que me habéis hablado;21-08-2016 21:27;es;1
7.67E+17;melloncolliew;@peroquedicesss en realidad es hipócrita todo eso como la camiseta esa de femimism del hym pero creo que en la vida cotidiana algo hace;21-08-2016 21:26;es;0
7.68E+17;misxntropia;"Había un hombre en la calle.
Estornudó y yo desde la ventana le he dicho ""salud""
Me miró mal y siguió caminando";22-08-2016 1:40;es;0
7.68E+17;JMontalvo98;Me veis en persona, no me saludais y luego me hablais para decirme que me habeis visto;22-08-2016 1:18;es;0
7.68E+17;Martuskiya;@BlasAuryn si es que no puedo olvidar cuando te viii, imposible. Que resumiendo, no te puedo olvidar  y no lo haré jamás chiqui ????;22-08-2016 1:18;es;1
7.68E+17;RaimonDuran;@DTM_Spain    En las carreras es al revé a más interés, más coches  ... pero tú mismo lo dices, es una empresa, aunque se venda ...;22-08-2016 11:59;es;1
7.68E+17;kolontai1959;@Garcaterra estoy total y absolutamente desesperanzada  @ahorapodemos;22-08-2016 11:59;es;0
7.68E+17;AlexysFlinG;@Sorayita_push Bien bien, si estan celebrando un cumpleaños, si todos nacieron el mismo dia hahahahahahha al menos son dos capítulos;22-08-2016 11:57;es;1
7.68E+17;NenyBeck;@Betvs_19 cucha, una independentista escribiendo en español!! Por muy del Barça que soy, te vas a buscar la vida  grassias.;22-08-2016 12:28;es;0
7.68E+17;antonio26084975;Porque son tan manipulables los pequeños ? Y porque no ven a su padre igual que a su madre ? Triste;22-08-2016 12:24;es;0
7.68E+17;RPRiddick33;@ApoyoCR7 Muy chulas esas gafas Paula  Y lo de guapa es talento innato tuyo :;22-08-2016 12:24;es;1
7.68E+17;bradpitto00;Esta tarde me voy a comprar un juego que estuve esperando muchísimo tiempo... posiblemente lo suba esta tarde-noche  Yoshi aparece;22-08-2016 14:11;es;1
7.68E+17;MachiNimaCDS;Qué depresión me entra, de seguro gana gente que solo dio RT porque sí, por probar suerte y no verdaderos fans;22-08-2016 14:10;es;0
7.68E+17;JORDI_RRPP;Gracias Victorerubio por recomendarme el seguimiento de @MandalaBeach. Artistas de talla internacional, monólogos y musica en directo;22-08-2016 14:09;es;1
7.68E+17;Fran87bcn;@sabrygarciarena Muy sexy Sabrina! Besitos y feliz día!;22-08-2016 14:08;es;1
7.68E+17;orem9;@RyFsw jajajaja.... eso es una indirecta  preparate #F que quiere reformar el baño;22-08-2016 14:20;es;0
7.68E+17;porcelita20;WORK FROM HOME!! Sería espectacular y poder verlas más!  #ConMTVal727Tour;22-08-2016 14:17;es;1
7.68E+17;ClaraFerrod21;Esta bien tener hermanos, siempre y cuando uno de ellos no decida ser subnormal perdido;22-08-2016 14:17;es;0
7.68E+17;GonzaloAscanio;@DiegoPajaron @miguel_prat doble sub-campeón de Europa  algo es algo jaja;22-08-2016 14:34;es;1
7.68E+17;gemma_camacho;@LuisFBonilla @isabelsevilla9 @adirecto @peichsantana Ole los buenos almerienses!!!! Mil besitos!!!!;22-08-2016 14:33;es;1
7.68E+17;CucuFaiter;"@DieRaposa @DrXaverius y otros biólogos como él se sentirán complacidos.

¡Mola mucho!";22-08-2016 14:02;es;1
7.68E+17;AurynerdeunER;Estás haciendo MUY feliz a todo mi tl,yo también quiero que me sigas  @BlasAuryn;22-08-2016 14:41;es;1
7.68E+17;anrv90;@iruri gracias, ya eran necesarias tras un duro año de trabajo  ¿has cogido tú ya?;22-08-2016 14:40;es;1
7.68E+17;Lexucristo;@MrMedra ay, joder, que resulta que es completamente vegana. Pues ya no me la compro.;22-08-2016 14:39;es;0
7.68E+17;sooyoung_mx;@__mxty Para cuando me escribes mi nombre bien precioso;22-08-2016 15:53;es;0
7.68E+17;iruri;"@Jabokatu yo no tengo ni idea y soy la primera que dice ""tiempo reglamentario""  pero en su día me convencieron de que estaba mal dicho.";22-08-2016 15:52;es;0
7.68E+17;iruri;@edortaramirez un click más, scroll y a veces el usuario se queda un poco colgado sin saber bien lo que tiene que hacer;23-08-2016 13:03;es;0
7.68E+17;escipion2003;@Ronan_Coke @angelesuc1 @josecg96 @Airatarra @andarellabcn Muy triste, pero no olvidemos la inestimable colaboración del estado en ello;23-08-2016 13:01;es;0
7.68E+17;clphoto90;@escapeofthecrow el rottweiler es precioso pero... Esta zumbadisimo y ataca  y yo muero de ganas de achucharlo;23-08-2016 12:59;es;0
7.68E+17;SallyWinther;@rossiepussie @luciakawaii1 te lleguen a entender y a respetar. Muy malos tienen que ser para obligarte a comer algo a la fuerza;23-08-2016 16:09;es;0
7.68E+17;aykrmela;Si es que llegáis aquí desde mi Favstar del cretácico y claro, luego no me duráis ni un suspiro. Que mis neuronas no son como antes, jopé;23-08-2016 16:08;es;0
7.68E+17;Fran87bcn;@AndreaNavedo Hola bella Andrea!! Qué tengas un maravilloso día!! Besitos!;23-08-2016 16:07;es;1
7.68E+17;sarashnikov;En fin estoy más sola que la una viendo como una bollera duerme y esperando como un perrito pa q me saquen a pasear;23-08-2016 16:03;es;0
7.68E+17;6000Atlas;@mamarracha2000 yo los vi en el Low cost de hace 3 años y me decepcionaron, aunque dicen que lo mismo hacen una cagada o son la hostia;23-08-2016 16:01;es;0
7.68E+17;Klamus;@TodoMegaDrive esta vez me decanto por la japonesa. P. Me encanta la batalla de caratulas;23-08-2016 17:27;es;1
7.68E+17;luisjasanchez;@kioskoAMM @gloris72 @olivares1965 @Tomasimedia @madeinLeon Gracias pero los importantes sois vosotros.  Los mediadores.  Sois muy buenos;23-08-2016 17:21;es;1
7.68E+17;RORROKIKI;@RarrochaR bien dicho Roberto,  las cosas por su nombre,  porque nadie dice cola cado;23-08-2016 17:30;es;1
7.68E+17;arual_helike;"me acaba de seguir una página para ligar por gustos musicales.
sé que estoy sola pero";23-08-2016 17:17;es;0
